,user_num,user_id
0,1,4
1,2,14
2,3,19
3,4,20
4,5,22
5,6,23
6,7,24
7,8,25
8,9,26
9,10,27
10,11,28
11,12,29
12,13,30
13,14,31
14,15,32
15,16,60
16,17,65
17,18,68
18,19,70
19,20,71
20,21,72
21,22,73
